,Phylum,Order,Family,Genus,Species,Sampling Location,Habitat,Publication,Accession,checkm_completeness,checkm_contamination,bact71_completeness,bact71_contamination,Genome size,# scaffolds
ANG215,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-68-15,40CM-68-15 sp003220615,"USA: California, Angelo Rivendell",Madrone tree,Sharrar2020,Rokubacteria_ANG_215,93.10,0.69,95.95,2.70,5081076,286
ASM191490v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-68-15,40CM-68-15 sp003220615,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Butterfield2016,GCA_001914905.1,82.60,0.69,90.54,0.00,3626413,201
ASM322061v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-68-15,40CM-68-15 sp003220615,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220615.1,94.83,0.69,95.95,1.35,5864324,233
ASM322149v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,40CM-68-15,40CM-68-15 sp003220615,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221495.1,91.22,2.41,91.89,1.35,5420270,510
ANG128,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220225,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_128,86.21,0.85,91.89,4.05,5465874,88
ASM322041v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220225,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220415.1,88.87,0.69,77.03,4.05,6028529,590
ANG129,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220335,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_129,75.08,0.00,81.08,4.05,5359071,371
ANG89,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220475,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_89,90.52,1.00,95.95,2.70,5214294,174
ASM322047v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220475,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220475.1,94.20,0.69,95.95,2.70,4815485,329
ASM322072v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR12,AR12 sp003220475,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220725.1,90.05,1.72,87.84,0.00,4420690,494
ANG537,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR19,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_537,81.03,0.69,93.24,1.35,3180168,100
ASM1617992v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR19,,"USA: California, Modesto",groundwater,He2021,GCA_016179925.1,72.41,1.21,82.43,1.35,3573934,223
ANG214,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR19,AR19 sp003220595,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_214,94.83,0.69,97.30,1.35,4434022,174
ASM322027v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR19,AR19 sp003220595,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220275.1,85.89,4.45,91.89,1.35,3959606,383
ASM322059v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR19,AR19 sp003220595,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220595.1,94.83,4.45,97.30,2.70,4062528,380
ANG195,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,,"USA: California, Sagehorn",Garry oak,Sharrar2020,Rokubacteria_ANG_195,92.24,2.57,97.30,4.05,6446433,404
ANG116,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221515,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_116,94.83,0.69,97.30,2.70,5493338,185
ASM322151v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221515,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221515.1,94.83,0.69,95.95,2.70,5099739,191
ASM322167v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221515,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221675.1,94.83,0.69,98.65,2.70,5441731,291
ANG99,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221595,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_99,76.61,0.69,78.38,2.70,3973953,470
ANG147,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221655,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_147,81.03,2.41,86.49,1.35,4068528,440
ASM322165v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR31,AR31 sp003221655,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221655.1,86.21,1.87,93.24,2.70,4480105,557
ANG137,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_137,94.83,3.10,95.95,4.05,5691079,469
ANG144,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_144,91.38,1.16,97.30,2.70,5642298,331
ANG159,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_159,94.83,2.41,95.95,1.35,4558128,124
ANG167,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_167,78.68,1.87,75.68,4.05,3394824,664
ANG177,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_177,93.10,4.14,89.19,2.70,3766918,642
ANG202,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Sagehorn",Garry oak,Sharrar2020,Rokubacteria_ANG_202,84.33,0.00,77.03,0.00,4584964,746
ANG330,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_330,93.10,5.00,91.89,4.05,5973161,345
ANG337,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_337,86.21,2.57,91.89,1.35,4119862,714
ANG55,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Sagehorn",hilly grassland,Sharrar2020,Rokubacteria_ANG_55,94.83,0.69,97.30,2.70,5626865,118
ANG68,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_68,94.51,4.14,95.95,1.35,5361805,411
ANG83,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Angelo Rivendell",Douglas fir,Sharrar2020,Rokubacteria_ANG_83,96.55,2.41,93.24,2.70,5787586,267
ASM1617916v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,,"USA: California, Modesto",groundwater,He2021,GCA_016179165.1,73.90,1.71,81.08,1.35,3020075,476
ANG103,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_103,92.79,2.41,91.89,2.70,5879323,407
ANG117,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_117,82.60,2.41,74.32,1.35,3843248,648
ANG353,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_353,86.02,2.88,77.03,1.35,4948453,620
ASM322034v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220345.1,91.38,0.69,90.54,2.70,5625833,429
ASM322038v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220385.1,88.79,2.41,91.89,1.35,5414504,512
ASM322147v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR37,AR37 sp003220345,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221475.1,92.95,2.41,91.89,1.35,5146504,576
ANG176,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR44,,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Sharrar2020,Rokubacteria_ANG_176,94.83,2.41,97.30,1.35,4342722,164
ASM322145v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR44,AR44 sp003221455,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221455.1,93.10,0.69,94.59,2.70,4414056,336
ASM588789v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR5,AR5 sp005887895,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_005887895.1,85.52,0.69,85.14,1.35,5541258,352
ASM1617842v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR8,,"USA: California, Lower Lake",groundwater,He2021,GCA_016178425.1,91.38,3.23,91.89,1.35,3215273,396
ASM1618412v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR8,,"USA: California, Modesto",groundwater,He2021,GCA_016184125.1,89.50,0.69,90.54,2.70,4085520,121
ASM1618436v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR8,,"USA: California, Modesto",groundwater,He2021,GCA_016184365.1,81.03,0.69,85.14,2.70,5580889,146
ASM322019v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR8,AR8 sp003220195,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003220195.1,84.33,0.16,86.49,1.35,5291522,598
ASM1620157v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR9,,"USA: California, Calistoga",groundwater,He2021,GCA_016201575.1,81.43,0.69,74.32,2.70,2566773,471
ASM322143v1,Methylomirabilota,Rokubacteriales,GWA2-73-35,AR9,AR9 sp003221435,"USA: California, Angelo Coastal Range Reserve",meadow grassland,Crits-Christoph2018,GCA_003221435.1,81.79,0.34,81.08,1.35,3427240,351
